model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,wokloads_with_pending_pods,0.102829724869698,0.0,0.4555555555555555,0.1475435337378541,0.0285714285714285
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,cost,0.1787519999999999,0.17024,0.21056,0.0112930104076723,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,cpu_usage,0.9767333333333336,0.206,1.709,0.4212542960266448,1.033
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,mem_usage,0.9671166666666668,0.204,1.6920000000000002,0.4170138839157888,1.023
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,number_of_migrations,219.6,0.0,420.0,151.52821519439868,240.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,pending_pods,43.86666666666667,0.0,244.0,80.6890803245137,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,time_with_pending,0.4666666666666667,0.0,1.0,0.5030977485864635,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,wokloads_with_pending_pods,0.092936095064642,0.0,0.4352941176470588,0.1523472249912262,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,cost,0.17584,0.17024,0.21504,0.0091059302710758,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,cpu_usage,0.9992166666666664,0.206,1.79,0.4208651336645307,1.0955
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,mem_usage,0.9893499999999998,0.204,1.774,0.4167199126430367,1.084
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,number_of_migrations,208.8,0.0,420.0,149.72374561170983,210.0
