model,temperature,load,run_dir,metric,mean,min,max,std,median
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,number_of_migrations,60.0,18.0,138.0,53.44155686354955,42.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,pending_pods,16.616666666666667,0.0,100.0,33.22195091500302,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,time_with_pending,0.35,0.0,1.0,0.4809947319913076,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,wokloads_with_pending_pods,0.0330467242452536,0.0,0.1733333333333333,0.0600890258596694,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,cost,0.1832319999999999,0.17024,0.19264,0.0093301183163242,0.18816
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,cpu_usage,1.0266499999999998,0.0,1.823,0.4974626406209407,1.0705
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,mem_usage,1.0165000000000002,0.0,1.805,0.4925618089064765,1.0595
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,number_of_migrations,8.0,2.0,17.0,6.0,5.0
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,pending_pods,9.133333333333333,0.0,94.0,23.32777980722691,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,time_with_pending,0.0991735537190082,0.0,1.0,0.3001377094403484,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_055532,wokloads_with_pending_pods,0.0115092613311919,0.0,0.2428571428571428,0.0408046578164237,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,cost,0.1851733333333333,0.17024,0.19264,0.0099037446550327,0.1904
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,cpu_usage,1.0066166666666667,0.0,1.823,0.5306389526058174,1.0495
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,mem_usage,0.9969666666666668,0.0,1.805,0.5252554815553616,1.0395
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,number_of_migrations,8.5,1.0,16.0,10.606601717798211,8.5
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,pending_pods,3.2666666666666666,0.0,94.0,17.0063464391691,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,time_with_pending,0.0330578512396694,0.0,1.0,0.1795310696193773,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_063646,wokloads_with_pending_pods,0.0041269841269841,0.0,0.2285714285714285,0.029343192186427,0.0
karmada-native,N/A,varia,baseline_input_varia_20260801_071802,cost,0.1856213333333333,0.17024,0.19264,0.0097984224719009,0.1904
karmada-native,N/A,varia,baseline_input_varia_20260801_071802,cpu_usage,1.0338833333333333,0.0,1.823,0.529291982848167,1.0775
karmada-native,N/A,varia,baseline_input_varia_20260801_071802,mem_usage,1.0239333333333334,0.0,1.805,0.5239906476933119,1.0675
